Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=, 3= 
4=, 5=, 6=, 7= 
8=, 9= 
0,27,0,0
0.2083401679992676,27,0,0
0.4044210910797119,27,0,0
0.5814361572265625,21,0,0
0.7608201503753662,18,0,0
0.9397480487823486,19,0,0
1.112078189849854,20,0,0
1.288830041885376,22,0,0
1.471966028213501,24,0,0
1.652543067932129,26,0,0
1.852394104003906,27,0,0
2.044979095458984,29,0,0
2.254430055618286,32,0,0
2.452617168426514,32,0,0
2.670137166976929,33,0,0
2.879362106323242,34,0,0
3.13822603225708,34,0,0
3.358086109161377,32,0,0
3.564019203186035,30,0,0
3.772011995315552,29,0,0
3.981543064117432,27,0,0
4.179602146148682,25,0,0
4.392392158508301,24,0,0
4.603734970092773,21,0,0
4.803622007369995,20,0,0
4.982952117919922,18,0,0
5.159558057785034,19,0,0
5.328605175018311,20,0,0
5.510877132415771,21,0,0
5.685650110244751,23,0,0
5.875715970993042,25,0,0
6.050989151000977,28,0,0
6.236021995544434,31,0,0
6.445688009262085,36,0,0
6.627722024917603,42,0,0
6.80883002281189,47,0,0
6.981266975402832,51,0,0
7.168261051177979,56,0,0
7.348162174224854,57,0,0
7.533929109573364,57,0,0
7.709550142288208,57,0,0
7.887510061264038,56,0,0
8.060959100723267,54,0,0
8.237663984298706,52,0,0
8.420580148696899,49,0,0
8.597827196121216,45,0,0
8.806732177734375,40,0,0
8.986544132232666,35,0,0
9.173750162124634,34,0,0
9.355745077133179,35,0,0
9.548482179641724,38,0,0
9.725529193878174,40,0,0
9.936659097671509,42,0,0
10.1240930557251,43,0,0
10.32553315162659,45,0,0
10.53208112716675,47,0,0
10.73143815994263,49,0,0
10.94684505462647,49,0,0
11.15265798568726,48,0,0
11.34497618675232,47,0,0
11.53390002250671,46,0,0
11.71087908744812,46,0,0
11.89774203300476,45,0,0
12.07287096977234,45,0,0
12.25326704978943,44,0,0
12.45991396903992,43,0,0
12.6309711933136,43,0,0
12.81194996833801,46,0,0
12.98388600349426,49,0,0
13.16362404823303,50,0,0
13.33660912513733,50,0,0
13.52405619621277,51,0,0
13.69652509689331,50,0,0
13.89041113853455,48,0,0
14.06153512001038,47,0,0
14.23566699028015,45,0,0
14.41556715965271,42,0,0
14.59561419487,38,0,0
14.77866005897522,36,0,0
14.95992398262024,37,0,0
15.13797807693481,37,0,0
15.3181631565094,41,0,0
15.51349115371704,42,0,0
15.69566702842712,41,0,0
15.88557004928589,35,0,0
16.06566405296326,31,0,0
16.26245212554932,26,0,0
16.44272518157959,21,0,0
16.61943101882935,18,0,0
16.8083770275116,14,0,0
16.98266410827637,12,0,0
17.15961813926697,9,0,0
17.33152508735657,9,0,0
17.51164698600769,7,0,0
17.68844103813171,8,0,0
17.86944508552551,7,0,0
18.04196310043335,8,0,0
18.2185480594635,9,0,0
18.40641212463379,12,0,0
18.59071016311646,16,0,0
18.77327799797058,21,0,0
18.962238073349,26,0,0
19.14449501037598,29,0,0
19.32145714759827,31,0,0
19.51156306266785,36,0,0
19.70211696624756,43,0,0
19.89619398117066,50,0,0
20.07357907295227,54,0,0
20.26772212982178,54,0,0
20.44594407081604,52,0,0
20.62783217430115,50,0,0
20.82079315185547,50,0,0
20.99650311470032,50,0,0
21.17971420288086,50,0,0
21.35860109329224,50,0,0
21.50192213058472,50,0,0
