Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=, 3= 
4=, 5=, 6=, 7= 
8=, 9= 
0,26,0,0
0.1991879940032959,26,0,-3.125
0.3898270130157471,27,7.8125,0.0
0.5795681476593018,27,7.8125,-0.78125
0.7659320831298828,27,7.8125,-0.78125
0.9547719955444336,26,7.8125,-0.78125
1.12787914276123,27,7.8125,-0.78125
1.315937042236328,27,10.546875,-0.78125
1.551437139511108,26,28.125,-0.78125
1.753368139266968,26,38.28125,1.5625
1.940412998199463,27,45.703125,5.078125
2.141349077224731,25,56.25,9.375
2.336911201477051,24,56.25,-0.5859375
2.540608167648315,23,63.28125,-3.125
2.727356195449829,21,63.28125,-10.9375
2.923741102218628,21,63.28125,-7.03125
3.117778062820435,22,63.28125,-0.78125
3.316894054412842,22,66.2109375,-0.78125
3.514437198638916,23,71.875,-0.390625
3.703729152679443,24,75.0,-0.390625
3.895946025848389,23,75.0,-0.390625
4.095669031143188,21,76.5625,-3.125
4.280894041061401,19,76.5625,-10.9375
4.494297981262207,17,76.5625,-7.03125
4.677766084671021,14,76.5625,-7.03125
4.87164306640625,13,76.5625,-0.78125
5.064801216125488,12,78.125,-0.78125
5.249450206756592,11,78.125,-0.78125
5.444578170776367,9,78.125,-0.78125
5.620303153991699,9,78.125,-0.78125
5.814898014068604,11,78.125,5.46875
6.019420146942139,15,68.75,25.390625
6.225781202316284,20,63.28125,37.5
6.442929029464722,22,61.71875,45.3125
6.658311128616333,22,60.15625,35.15625
6.851943016052246,22,62.890625,44.7265625
7.053839206695557,21,62.890625,44.7265625
7.25082802772522,18,66.796875,27.9296875
7.461580038070679,16,68.5546875,27.5390625
7.658189058303833,15,70.3125,27.1484375
7.851999998092651,12,63.28125,9.375
8.043382167816162,14,66.40625,0.0
8.240326166152954,20,75.0,21.875
8.447506189346313,30,68.75,55.46875
8.655924081802368,42,49.21875,94.7265625
8.842182159423828,48,28.125,99.8046875
9.040048122406006,33,22.65625,91.2109375
9.232744216918945,23,32.8125,-0.390625
9.453309059143066,14,61.71875,26.953125
9.654343128204346,10,54.6875,-14.84375
9.853844165802002,8,54.6875,-34.765625
10.04981207847595,9,48.4375,-55.078125
10.25012612342834,13,48.4375,-60.9375
10.44484615325928,23,64.84375,-36.71875
10.64432120323181,30,75.78125,-31.0546875
10.8328320980072,36,93.75,-0.78125
11.02477502822876,41,90.625,5.46875
11.21975708007813,41,83.59375,66.40625
11.43564105033875,20,64.84375,49.4140625
11.63774514198303,36,63.28125,-18.75
11.84738206863403,71,50.78125,-69.921875
12.04800701141358,68,42.96875,-99.609375
12.25850820541382,7,63.28125,-52.5390625
12.45859813690186,24,90.625,6.0546875
12.67551398277283,47,90.625,44.921875
12.8996160030365,64,63.28125,87.3046875
13.09772610664368,56,24.609375,99.8046875
13.32603716850281,17,7.8125,14.84375
13.55280113220215,7,12.5,-5.859375
13.78815603256226,7,17.96875,-82.8125
14.00993418693543,10,28.125,-50.78125
14.23977017402649,30,22.265625,-69.140625
14.48186206817627,60,64.84375,20.5078125
14.72946619987488,67,54.6875,53.7109375
14.9342360496521,67,68.75,62.109375
15.13073110580445,4,43.359375,57.03125
15.28431701660156,4,38.28125,55.46875
