Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=, 3= 
4=, 5=, 6=, 7= 
8=, 9= 
0,27,0,0
0.1846628189086914,26,8.203125,1.5625
0.3751130104064941,26,7.8125,-0.5859375
0.56703782081604,27,7.8125,-0.5859375
0.7442038059234619,26,7.8125,-0.5859375
0.9417319297790527,26,7.8125,-0.5859375
1.121802806854248,26,7.8125,-0.5859375
1.310247898101807,26,7.8125,-0.5859375
1.488554000854492,27,7.8125,-0.5859375
1.683619022369385,26,7.8125,-0.5859375
1.869067907333374,27,9.1796875,-0.5859375
2.057801008224487,27,10.9375,-0.5859375
2.239506959915161,26,12.5,-0.5859375
2.451422929763794,27,17.96875,-0.5859375
2.652129888534546,27,19.53125,-0.5859375
2.841702938079834,26,24.21875,-0.5859375
3.04010796546936,26,27.9296875,-0.5859375
3.246984958648682,26,33.0078125,13.28125
3.444025993347168,27,31.25,19.53125
3.65233302116394,25,38.28125,15.625
3.854602813720703,18,17.96875,0.0
4.071647882461548,15,38.28125,-20.8984375
4.262439012527466,16,26.5625,-26.953125
4.470254898071289,19,31.25,-32.8125
4.66356086730957,22,24.609375,-9.1796875
4.863396883010864,26,44.53125,-0.5859375
5.056010961532593,28,46.6796875,19.53125
5.257810831069946,28,37.109375,12.890625
5.463667869567871,24,29.6875,4.296875
5.680300951004028,21,42.96875,-0.390625
5.884007930755615,20,50.0,-7.03125
6.094452857971191,20,50.0,-13.671875
6.29094386100769,22,50.0,-14.2578125
6.514250993728638,27,50.0,-0.78125
6.717578887939453,30,44.53125,2.734375
6.930392026901245,30,44.53125,9.765625
7.130851030349731,30,44.53125,1.5625
7.34493088722229,30,48.4375,-0.78125
7.545125007629395,30,50.0,-4.6875
7.750456809997559,29,58.59375,-4.6875
7.962499856948853,28,58.59375,-10.546875
8.16671085357666,28,58.59375,-12.5
8.366671800613403,28,56.25,-2.9296875
8.570544958114624,27,48.828125,5.46875
8.779700994491577,26,48.828125,11.71875
8.994301795959473,25,48.828125,1.5625
9.189031839370728,24,48.828125,0.0
9.408702850341797,23,46.6796875,6.640625
9.631704807281494,21,42.96875,5.46875
9.853607892990112,19,42.96875,17.1875
10.07374000549316,16,42.96875,25.9765625
10.27183699607849,11,42.96875,27.34375
10.49240684509277,8,41.796875,13.28125
10.70275282859802,14,34.375,0.0
10.91034483909607,40,34.765625,-4.6875
11.10767292976379,47,42.96875,-10.7421875
11.31955599784851,30,38.28125,-12.3046875
11.51972985267639,10,44.7265625,-0.390625
11.74027395248413,8,46.09375,11.1328125
11.9503128528595,8,48.4375,12.890625
12.1622908115387,10,40.234375,27.34375
12.37417697906494,10,26.953125,27.34375
12.58224081993103,11,19.921875,13.28125
12.79348802566528,10,21.09375,15.625
13.00414299964905,10,32.8125,27.34375
13.26179695129395,10,38.0859375,26.953125
13.46853685379028,10,38.0859375,23.4375
13.67446494102478,10,31.25,23.6328125
13.88453483581543,10,31.25,19.7265625
14.0918300151825,10,48.828125,13.28125
14.28243494033814,10,52.734375,11.9140625
14.48407483100891,12,50.0,21.875
14.68466091156006,14,31.25,33.984375
14.8935399055481,16,16.796875,27.5390625
15.10646986961365,18,12.5,32.421875
15.3255398273468,20,12.890625,41.40625
15.52660489082337,20,1.171875,38.8671875
15.73746490478516,19,1.171875,33.59375
15.93427991867066,18,1.171875,38.671875
16.14948296546936,15,7.8125,39.0625
16.34896087646484,14,2.34375,29.8828125
16.5567889213562,12,0.78125,13.8671875
16.76462602615357,12,7.421875,23.4375
16.96946287155152,12,0.78125,33.59375
17.15958595275879,12,3.515625,30.46875
17.35712289810181,12,19.3359375,25.78125
17.5503888130188,13,24.21875,25.78125
17.75430202484131,14,31.25,25.78125
17.96253395080567,14,42.578125,25.1953125
18.16670680046082,14,44.7265625,11.9140625
18.36034989356995,14,57.421875,0.0
18.5719199180603,14,61.71875,-10.9375
18.76835894584656,17,63.28125,-21.484375
18.96872901916504,19,56.25,-14.84375
19.16416382789612,21,56.25,-22.265625
19.36248302459717,24,54.6875,-14.84375
19.55382299423218,25,47.0703125,0.0
19.7691388130188,23,24.21875,27.34375
19.96641802787781,17,28.3203125,23.4375
20.17206883430481,12,38.671875,4.6875
20.37671780586243,9,42.96875,-19.140625
20.57367086410522,8,42.96875,-21.09375
20.76115202903748,7,42.96875,-18.75
20.97780394554138,8,42.96875,-17.1875
21.17251396179199,9,37.109375,-13.671875
21.36954283714295,11,37.109375,-22.65625
21.56366801261902,14,34.765625,-21.09375
21.77236294746399,18,46.09375,-0.78125
21.98103880882263,21,52.34375,25.5859375
22.18512988090515,23,48.4375,25.390625
22.38189482688904,22,48.828125,27.734375
22.58220791816711,21,43.359375,25.78125
22.78946089744568,17,43.359375,12.109375
23.00498080253601,13,43.359375,1.5625
23.24425601959228,12,59.765625,-3.125
23.46378302574158,12,59.765625,-7.03125
23.69788193702698,24,27.34375,5.078125
23.93141102790833,25,7.8125,-0.78125
24.17203402519226,27,7.8125,-0.78125
24.39988780021668,27,0.78125,-0.78125
