Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=, 3= 
4=, 5=, 6=, 7= 
8=, 9= 
0,3,0,0
0.1966848373413086,2,6.25,0
0.3777740001678467,5,6.25,0
0.5645890235900879,6,6.25,3.515625
0.7504830360412598,5,5.078125,3.3203125
0.9609580039978027,4,6.25,-0.78125
1.158015012741089,5,6.8359375,-0.78125
1.349468946456909,5,0.390625,-0.78125
1.548126935958862,4,-35.15625,-0.78125
1.74420690536499,3,-69.921875,1.5625
1.960140943527222,6,-77.734375,9.375
2.165897846221924,5,-77.734375,2.34375
2.356160879135132,7,-66.015625,18.5546875
2.564060926437378,4,-57.03125,19.7265625
2.759914875030518,4,-45.3125,50.390625
2.974937915802002,5,-49.21875,78.125
3.175367832183838,4,-53.125,96.6796875
3.389636039733887,6,-54.8828125,99.8046875
3.604595899581909,5,-57.8125,99.8046875
3.809883832931519,4,-60.9375,99.8046875
4.003986835479736,5,-52.734375,85.7421875
4.213995933532715,4,-31.25,7.6171875
4.422488927841187,2,0.5859375,-26.7578125
4.638746023178101,5,-1.5625,-98.4375
4.832365989685059,7,-3.3203125,-88.28125
5.028604984283447,4,-5.078125,-70.3125
5.236088037490845,5,-7.03125,-71.6796875
5.433377981185913,4,-7.03125,-62.5
5.640236854553223,3,0.0,0.390625
5.848243951797485,5,-19.140625,7.421875
6.044038057327271,2,-58.203125,21.2890625
6.254569053649902,3,-93.75,26.7578125
6.450448989868164,1,-99.21875,25.78125
6.679730892181396,4,-99.21875,25.9765625
6.876282930374146,6,-99.21875,13.0859375
7.077970027923584,3,-99.21875,0.0
7.280302047729492,3,-60.546875,0.0
7.489655017852783,5,14.2578125,-0.5859375
7.696409940719604,7,63.28125,-0.5859375
7.903430938720703,5,66.40625,-0.5859375
8.109982013702393,6,75.390625,-0.5859375
8.31817889213562,1,88.0859375,-0.5859375
8.527560949325562,5,88.4765625,-0.5859375
8.733434915542603,2,88.28125,-0.5859375
8.928843975067139,4,88.28125,-0.5859375
9.125782012939453,4,89.84375,-0.5859375
9.326696872711182,4,88.671875,-0.5859375
9.528578042984009,4,88.671875,-0.5859375
9.727674007415771,3,88.671875,-0.5859375
9.930800914764404,4,88.671875,-0.5859375
10.11953592300415,4,62.109375,-0.5859375
10.34365797042847,4,6.25,-0.5859375
10.53935694694519,5,2.34375,-0.5859375
10.73933601379395,4,6.0546875,0.0
