Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=, 3= 
4=, 5=, 6=, 7= 
8=, 9= 
0,27,0,0
0.198638916015625,27,6.25,0.0
0.3885588645935059,26,7.8125,-0.5859375
0.5925788879394531,27,9.375,-0.5859375
0.7784819602966309,27,9.375,-0.5859375
0.9738929271697998,26,10.9375,-0.5859375
1.183842897415161,27,21.09375,1.5625
1.384446859359741,27,28.125,7.8125
1.585168838500977,27,32.6171875,7.8125
1.787070989608765,26,34.375,7.8125
1.980403900146484,25,34.375,-0.390625
2.202700853347778,23,36.71875,-10.9375
2.413113832473755,22,44.7265625,-0.78125
2.641461849212646,22,50.0,5.46875
2.862916946411133,22,54.6875,0.0
3.07930588722229,21,56.25,-0.5859375
3.308483839035034,20,51.5625,-0.78125
3.570420026779175,19,48.4375,-0.78125
3.784600019454956,18,48.4375,-0.78125
3.985244035720825,18,46.09375,-0.78125
4.184388875961304,19,44.53125,-6.640625
4.387581825256348,19,42.96875,-6.640625
4.594902038574219,19,42.96875,-3.515625
4.788497924804688,20,42.96875,-0.78125
4.987294912338257,21,51.5625,-0.390625
5.213923931121826,19,54.6875,-0.390625
5.42662787437439,18,54.6875,-2.34375
5.654408931732178,16,46.484375,-10.9375
5.862574815750122,15,43.359375,-12.5
6.08755898475647,15,39.84375,-4.6875
6.313480854034424,16,39.84375,-3.125
6.567864894866943,15,39.84375,-3.515625
6.775056838989258,15,39.84375,-3.125
6.985105991363525,14,34.375,-7.03125
7.171416044235229,14,33.203125,-9.765625
7.386325836181641,14,46.09375,-8.59375
7.588419914245605,16,46.09375,-12.5
7.785854816436768,18,43.359375,-12.5
7.984580039978027,21,48.828125,-0.390625
8.181897878646851,22,51.5625,12.109375
8.380815982818604,22,41.40625,17.1875
8.634426832199097,18,34.375,11.71875
8.852558851242065,15,34.765625,17.1875
9.047817945480347,14,34.375,6.640625
9.240805864334106,13,41.2109375,3.3203125
9.442620038986206,12,44.53125,-7.03125
9.639444828033447,13,44.53125,-0.78125
9.850034952163696,14,46.09375,11.71875
10.04442000389099,16,46.09375,17.1875
10.24702095985413,17,46.09375,13.28125
10.43657183647156,15,41.40625,21.875
10.64453792572021,14,41.40625,4.296875
10.84886503219604,14,41.40625,1.953125
11.04272389411926,16,41.40625,15.8203125
11.23903799057007,17,44.53125,23.828125
11.436607837677,16,41.40625,26.953125
11.64156985282898,14,39.84375,19.7265625
11.83890581130981,13,42.578125,23.4375
12.04356098175049,11,38.28125,-0.5859375
12.24452686309815,11,46.09375,9.375
12.44748401641846,12,46.6796875,-4.6875
12.65041899681091,15,58.59375,25.78125
12.84715390205383,17,54.6875,27.34375
13.04703283309937,17,54.6875,22.65625
13.24156284332275,17,56.25,30.46875
13.48631095886231,15,56.640625,29.6875
13.71239900588989,14,55.078125,19.53125
13.89857602119446,16,56.25,25.78125
14.10281491279602,18,56.25,25.9765625
14.28912901878357,20,34.765625,17.7734375
14.48395895957947,22,17.96875,7.2265625
14.68687200546265,23,9.375,1.5625
14.88670492172241,23,8.984375,23.4375
15.0875449180603,23,7.8125,19.140625
15.29478597640991,24,7.8125,13.28125
15.49252796173096,25,7.8125,25.78125
15.69709587097168,25,7.8125,25.78125
15.8952169418335,24,7.8125,20.703125
16.09448385238648,22,6.25,11.71875
16.29516100883484,22,9.375,19.53125
16.50639390945435,21,9.375,21.484375
16.7216968536377,22,9.5703125,17.3828125
16.92489099502564,22,14.84375,13.28125
17.11929488182068,22,16.40625,19.140625
17.32167291641235,23,19.53125,23.4375
17.51464891433716,22,22.65625,23.4375
17.71332383155823,21,22.65625,19.53125
17.90235280990601,21,24.21875,13.28125
18.10434699058533,20,26.5625,0.0
18.28899693489075,20,28.125,0.1953125
18.48254299163818,21,28.125,-0.390625
18.68471193313599,21,34.375,-0.390625
18.87802290916443,22,34.765625,-0.390625
19.07922601699829,23,34.9609375,-3.125
19.26428389549256,26,33.59375,-7.03125
19.4543559551239,27,28.515625,-7.03125
19.63548588752747,27,26.953125,-2.5390625
19.83779001235962,27,26.953125,-1.3671875
20.01037788391113,27,25.9765625,-3.125
20.20919704437256,27,24.21875,-10.9375
20.39680886268616,26,22.65625,-10.9375
20.58639001846314,26,18.359375,-10.9375
20.78438997268677,27,18.359375,-10.9375
20.9738609790802,28,24.21875,-4.6875
21.16509795188904,29,34.375,-0.78125
21.35246396064758,29,41.40625,-0.78125
21.53510403633118,28,36.71875,-12.5
21.72886681556702,26,33.203125,-16.9921875
21.91454482078552,26,28.515625,-19.140625
22.11854386329651,27,28.515625,-10.9375
22.30752301216126,27,28.515625,-8.59375
22.49743700027466,28,33.203125,-7.03125
22.68687987327576,28,38.0859375,-12.3046875
22.88203597068787,29,41.40625,-12.3046875
23.07525181770325,30,50.0,-0.78125
23.26430797576904,31,58.59375,17.1875
23.46248483657837,27,55.078125,25.78125
23.65603184700012,19,51.5625,12.890625
23.85450291633606,12,41.796875,-12.5
24.04273986816406,10,31.640625,-17.578125
24.23251104354859,9,28.125,-10.9375
24.41302299499512,10,33.59375,-13.0859375
24.59948682785035,11,23.046875,-30.46875
24.79565191268921,14,53.90625,-0.78125
24.98658800125122,17,58.59375,23.4375
25.17948794364929,16,54.6875,18.359375
25.3930778503418,13,44.140625,0.0
25.58716082572937,11,30.859375,-28.3203125
25.79198694229126,12,26.953125,-18.75
26.03713202476502,17,28.125,-26.5625
26.23695683479309,22,39.84375,-0.78125
26.42291283607483,24,46.09375,17.1875
26.57656693458557,25,46.09375,13.28125
