Tallformatet viser til kolonnenummer:
0=Ts, 1=Flow, 2=Volum
 
0,0,0
0,0.0,0.06777191162109375
0,0.0,0.06301999092102056
0,0.0,0.058846950531005776
0,0.0,0.0555460453033447
0,0.0,0.06744813919067394
0,0.0,0.05535888671875
0,0.0,0.06465506553649897
0,0.0,0.06188297271728521
-1,-0.07229304313659662,0.07229304313659662
0,-0.07229304313659662,0.06591796875
0,-0.07229304313659662,0.06053304672241211
0,-0.07229304313659662,0.05614781379699707
0,-0.07229304313659662,0.06183505058288574
0,-0.07229304313659662,0.05817008018493652
0,-0.07229304313659662,0.0715789794921875
0,-0.07229304313659662,0.058854103088378906
0,-0.07229304313659662,0.058383941650390625
0,-0.07229304313659662,0.06178092956542991
0,-0.07229304313659662,0.061163902282715066
0,-0.07229304313659662,0.05574202537536599
0,-0.07229304313659662,0.06548714637756303
0,-0.07229304313659662,0.06560087203979492
0,-0.07229304313659662,0.06055903434753418
0,-0.07229304313659662,0.06106209754943892
0,-0.07229304313659662,0.05423498153686501
0,-0.07229304313659662,0.05929493904113792
0,-0.07229304313659662,0.06031894683837913
0,-0.07229304313659662,0.05878996849059992
0,-0.07229304313659662,0.06116509437561102
1,-0.002505064010620728,0.0697879791259759
1,0.057597875595092385,0.06010293960571311
1,0.1142129898071283,0.05661511421203591
2,0.24047899246215804,0.06313300132751487
3,0.42494273185730097,0.06148791313171431
4,0.7033193111419689,0.06959414482116699
6,1.039342164993282,0.05600380897521884
6,1.418459177017213,0.06318616867065519
7,1.8187470436096171,0.05718398094177202
7,2.3138635158538765,0.0707309246063228
6,2.7063958644866917,0.0654220581054692
6,3.1487214565277073,0.07372093200683594
5,3.460671901702876,0.062390089035033736
4,3.711911678314204,0.06280994415283203
2,3.840977668762202,0.06453299522399902
1,3.8996727466583203,0.058695077896118164
0,3.8996727466583203,0.06484484672546387
-2,3.771460771560664,0.06410598754882812
-3,3.5657503604888867,0.06857013702392578
-4,3.3283741474151545,0.05934405326843306
-5,3.0176348686218195,0.06214785575866699
-5,2.688019990921014,0.06592297554016113
-5,2.3936040401458696,0.05888319015502885
-5,2.0903499126434237,0.06065082550048917
-4,1.780773878097527,0.07739400863647417
-3,1.6140248775482093,0.05558300018310591
-2,1.4851009845733576,0.06446194648742587
-2,1.3650667667388832,0.060017108917237216
0,1.3650667667388832,0.06167101860046387
1,1.4232566356658851,0.05818986892700195
1,1.4833717346191322,0.06011509895324707
3,1.687977790832511,0.06820201873779297
5,1.97658824920653,0.0577220916748038
7,2.404441833496081,0.06112194061279297
7,2.9319622516631982,0.07536005973815962
6,3.2895801067352197,0.059602975845336914
7,3.8055849075317285,0.0737149715423584
5,4.154534339904775,0.06978988647460938
4,4.411650657653799,0.06427907943725586
2,4.535562515258779,0.061955928802490234
1,4.602931499481191,0.06736898422241211
-1,4.539087533950796,0.06384396553039551
-2,4.40417742729186,0.06745505332946777
-3,4.227102279663076,0.05902504920959473
-4,3.9835863113403223,0.06087899208068848
-4,3.728449821472158,0.06378412246704102
-5,3.4055309295654244,0.06458377838134677
-5,3.0852358341216943,0.064059019088746
-4,2.8501074314117334,0.058782100677490234
-2,2.6883852481841943,0.08086109161376953
-1,2.622140407562246,0.06624484062194824
0,2.622140407562246,0.06312799453735352
1,2.679060459136953,0.05692005157470703
2,2.7989106178283594,0.059925079345703125
3,2.9880993366241357,0.06306290626525879
6,3.4293992519378564,0.07354998588562012
7,3.8998906612396143,0.06721305847167969
7,4.366384983062734,0.06664204597473145
8,4.832472324371335,0.05826091766357511
7,5.262861013412467,0.061484098434447354
8,5.715371847152701,0.0565638542175293
7,6.167439937591544,0.06458115577697754
7,6.6451895236968905,0.06824994087219238
6,7.047128915786734,0.06698989868164062
5,7.3842241764068515,0.06741905212402344
4,7.622592210769644,0.05959200859069824
3,7.788708209991446,0.055371999740600586
1,7.859603166580191,0.07089495658874512
0,7.859603166580191,0.06261205673217773
0,7.859603166580191,0.06074595451355069
-1,7.79961419105529,0.059988975524901456
-2,7.659060239791862,0.07027697563171387
-3,7.449681282043452,0.06979298591613681
-3,7.26737689971923,0.06076812744140714
-5,6.899027347564689,0.0736699104309082
-5,6.617127180099479,0.05638003349304199
-6,6.161690950393669,0.07590603828430176
-6,5.792564630508415,0.061521053314208984
-6,5.414523363113395,0.06300687789916992
-6,5.059467554092399,0.059175968170166016
-5,4.711952209472648,0.0695030689239502
-5,4.432401657104484,0.05591011047363281
-4,4.151794433593742,0.07015180587768555
-3,3.9558937549590985,0.06530022621154785
-2,3.8307559490203777,0.06256890296936035
-2,3.7060301303863445,0.0623629093170166
0,3.7060301303863445,0.07091403007507324
0,3.7060301303863445,0.057633161544799805
1,3.781014919280998,0.07498478889465332
1,3.835814952850334,0.05480003356933594
2,3.9628472328185955,0.06351613998413086
3,4.150332212448112,0.06249499320983887
5,4.482706785202018,0.06647491455078125
6,4.891349554061882,0.06810712814331055
7,5.392030239105217,0.07152581214904785
7,5.835565090179435,0.06336212158203125
8,6.3589091300964276,0.06541800498962402
6,6.711061000823967,0.058691978454589844
7,7.171437025070182,0.06576800346374512
7,7.691509008407585,0.0742959976196289
6,8.105749368667595,0.06904006004333496
6,8.484823465347283,0.06317901611328125
5,8.78932332992553,0.060899972915649414
4,9.05244302749633,0.0657799243927002
4,9.283174991607659,0.05768299102783203
3,9.475801944732659,0.064208984375
2,9.601399898529046,0.06279897689819336
2,9.726461887359612,0.0625309944152832
1,9.786393880844109,0.05993199348449707
0,9.786393880844109,0.060459136962890625
0,9.786393880844109,0.06362581253051758
