Tallformatet viser til kolonnenummer:
0=Ts, 1=Flow, 
2=Volum, 3=, 4= 
0,0,0
0.06777191162109375,0,0.0
0.06301999092102051,0,0.0
0.05884695053100586,0,0.0
0.05554604530334473,0,0.0
0.06744813919067383,0,0.0
0.05535888671875,0,0.0
0.06465506553649902,0,0.0
0.06188297271728516,0,0.0
0.07229304313659668,-1,-0.07229304313659668
0.06591796875,0,-0.07229304313659668
0.06053304672241211,0,-0.07229304313659668
0.05614781379699707,0,-0.07229304313659668
0.06183505058288574,0,-0.07229304313659668
0.05817008018493652,0,-0.07229304313659668
0.0715789794921875,0,-0.07229304313659668
0.05885410308837891,0,-0.07229304313659668
0.05838394165039063,0,-0.07229304313659668
0.06178092956542969,0,-0.07229304313659668
0.06116390228271484,0,-0.07229304313659668
0.05574202537536621,0,-0.07229304313659668
0.06548714637756348,0,-0.07229304313659668
0.06560087203979492,0,-0.07229304313659668
0.06055903434753418,0,-0.07229304313659668
0.06106209754943848,0,-0.07229304313659668
0.05423498153686523,0,-0.07229304313659668
0.0592949390411377,0,-0.07229304313659668
0.06031894683837891,0,-0.07229304313659668
0.05878996849060059,0,-0.07229304313659668
0.06116509437561035,0,-0.07229304313659668
0.06978797912597656,1,-0.002505064010620117
0.06010293960571289,1,0.05759787559509277
0.05661511421203613,1,0.1142129898071289
0.06313300132751465,2,0.2404789924621582
0.06148791313171387,3,0.4249427318572998
0.06959414482116699,4,0.7033193111419678
0.05600380897521973,6,1.039342164993286
0.0631861686706543,6,1.418459177017212
0.05718398094177246,7,1.818747043609619
0.07073092460632324,7,2.313863515853882
0.06542205810546875,6,2.706395864486694
0.07372093200683594,6,3.14872145652771
0.06239008903503418,5,3.460671901702881
0.06280994415283203,4,3.711911678314209
0.06453299522399902,2,3.840977668762207
0.05869507789611816,1,3.899672746658325
0.06484484672546387,0,3.899672746658325
0.06410598754882813,-2,3.771460771560669
0.06857013702392578,-3,3.565750360488892
0.05934405326843262,-4,3.328374147415161
0.06214785575866699,-5,3.017634868621826
0.06592297554016113,-5,2.688019990921021
0.0588831901550293,-5,2.393604040145874
0.06065082550048828,-5,2.090349912643433
0.07739400863647461,-4,1.780773878097534
0.05558300018310547,-3,1.614024877548218
0.06446194648742676,-2,1.485100984573364
0.06001710891723633,-2,1.365066766738892
0.06167101860046387,0,1.365066766738892
0.05818986892700195,1,1.423256635665894
0.06011509895324707,1,1.483371734619141
0.06820201873779297,3,1.68797779083252
0.05772209167480469,5,1.976588249206543
0.06112194061279297,7,2.404441833496094
0.07536005973815918,7,2.931962251663208
0.05960297584533691,6,3.289580106735229
0.0737149715423584,7,3.805584907531738
0.06978988647460938,5,4.154534339904785
0.06427907943725586,4,4.411650657653809
0.06195592880249023,2,4.535562515258789
0.06736898422241211,1,4.602931499481201
0.06384396553039551,-1,4.539087533950806
0.06745505332946777,-2,4.40417742729187
0.05902504920959473,-3,4.227102279663086
0.06087899208068848,-4,3.983586311340332
0.06378412246704102,-4,3.728449821472168
0.06458377838134766,-5,3.40553092956543
0.06405901908874512,-5,3.085235834121704
0.05878210067749023,-4,2.850107431411743
0.08086109161376953,-2,2.688385248184204
0.06624484062194824,-1,2.622140407562256
0.06312799453735352,0,2.622140407562256
0.05692005157470703,1,2.679060459136963
0.05992507934570313,2,2.798910617828369
0.06306290626525879,3,2.988099336624146
0.07354998588562012,6,3.429399251937866
0.06721305847167969,7,3.899890661239624
0.06664204597473145,7,4.366384983062744
0.05826091766357422,8,4.832472324371338
0.06148409843444824,7,5.262861013412476
0.0565638542175293,8,5.71537184715271
0.06458115577697754,7,6.167439937591553
0.06824994087219238,7,6.645189523696899
0.06698989868164063,6,7.047128915786743
0.06741905212402344,5,7.38422417640686
0.05959200859069824,4,7.622592210769653
0.05537199974060059,3,7.788708209991455
0.07089495658874512,1,7.8596031665802
0.06261205673217773,0,7.8596031665802
0.0607459545135498,0,7.8596031665802
0.05998897552490234,-1,7.799614191055298
0.07027697563171387,-2,7.65906023979187
0.0697929859161377,-3,7.449681282043457
0.06076812744140625,-3,7.267376899719238
0.0736699104309082,-5,6.899027347564697
0.05638003349304199,-5,6.617127180099487
0.07590603828430176,-6,6.161690950393677
0.06152105331420898,-6,5.792564630508423
0.06300687789916992,-6,5.414523363113403
0.05917596817016602,-6,5.059467554092407
0.0695030689239502,-5,4.711952209472656
0.05591011047363281,-5,4.432401657104492
0.07015180587768555,-4,4.15179443359375
0.06530022621154785,-3,3.955893754959106
0.06256890296936035,-2,3.830755949020386
0.0623629093170166,-2,3.706030130386353
0.07091403007507324,0,3.706030130386353
0.0576331615447998,0,3.706030130386353
0.07498478889465332,1,3.781014919281006
0.05480003356933594,1,3.835814952850342
0.06351613998413086,2,3.962847232818604
0.06249499320983887,3,4.15033221244812
0.06647491455078125,5,4.482706785202026
0.06810712814331055,6,4.89134955406189
0.07152581214904785,7,5.392030239105225
0.06336212158203125,7,5.835565090179443
0.06541800498962402,8,6.358909130096436
0.05869197845458984,6,6.711061000823975
0.06576800346374512,7,7.17143702507019
0.07429599761962891,7,7.691509008407593
0.06904006004333496,6,8.105749368667603
0.06317901611328125,6,8.48482346534729
0.06089997291564941,5,8.789323329925537
0.0657799243927002,4,9.052443027496338
0.05768299102783203,4,9.283174991607666
0.064208984375,3,9.475801944732666
0.06279897689819336,2,9.601399898529053
0.0625309944152832,2,9.726461887359619
0.05993199348449707,1,9.786393880844116
0.06045913696289063,0,9.786393880844116
0.06362581253051758,0,9.786393880844116
0.06556200981140137,0,9.786393880844116
