Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=, 3= 
4=, 5=, 6=, 7= 
8=, 9= 
0,16
0.05938196182250977,16
0.1199769973754883,16
0.1786530017852783,16
0.2388889789581299,16
0.2937839031219482,16
0.3525819778442383,16
0.4056010246276855,16
0.4588479995727539,16
0.5248708724975586,16
0.5791690349578857,16
0.6423909664154053,16
0.6973609924316406,16
0.7600259780883789,17
0.8138229846954346,17
0.8785178661346436,18
0.9425368309020996,19
1.002470970153809,19
1.066236972808838,21
1.132202863693237,21
1.192845821380615,21
1.257186889648438,20
1.326591968536377,18
1.390393018722534,18
1.445955991744995,16
1.510226011276245,13
1.569007873535156,12
1.635182857513428,10
1.70923900604248,9
1.764869928359985,9
1.83107590675354,8
1.889021873474121,8
1.952342987060547,9
2.008141040802002,10
2.077541828155518,12
2.142531871795654,14
2.207170963287354,18
2.27852201461792,20
2.359066009521484,22
2.415201902389526,23
2.491696834564209,23
2.551828861236572,22
2.619026899337769,20
2.682586908340454,17
2.742162942886353,14
2.812013864517212,12
2.892601013183594,10
2.959143877029419,9
3.024188995361328,9
3.088974952697754,11
3.159135818481445,13
3.234119892120361,18
3.328418970108032,22
3.389742851257324,24
3.464058876037598,23
3.525836944580078,21
3.589117050170898,19
3.656035900115967,14
3.728729963302612,11
3.784485816955566,9
3.851882934570313,9
3.912011861801147,10
3.972364902496338,12
4.032557010650635,14
4.096963882446289,19
4.165360927581787,22
4.235733032226563,22
4.296205043792725,21
4.357261896133423,17
4.41524600982666,13
4.483006000518799,10
4.552464008331299,8
4.615254878997803,9
4.681744813919067,12
4.73671293258667,14
4.802563905715942,20
4.872079849243164,24
4.936838865280151,22
5.007845878601074,18
5.073061943054199,13
5.136162042617798,9
5.195452928543091,8
5.259932994842529,8
5.320276021957397,10
5.384423017501831,14
5.446054935455322,19
5.510048866271973,24
5.572679042816162,23
5.634212970733643,21
5.698616981506348,17
5.755468845367432,12
5.81965184211731,9
5.878512859344482,8
5.939658880233765,10
6.001617908477783,13
6.069313049316406,19
6.137543916702271,24
6.200063943862915,24
6.272789001464844,20
6.339246034622192,14
6.402971029281616,10
6.475957870483398,9
6.545739889144897,9
6.612340927124023,13
6.691887855529785,19
6.753070831298828,23
6.821797847747803,21
6.892438888549805,17
6.956018924713135,11
7.026968002319336,8
7.092756032943726,10
7.165660858154297,13
7.24201488494873,20
7.313706874847412,24
7.379947900772095,22
7.452571868896484,13
7.549839973449707,8
7.617192983627319,10
7.694471836090088,18
7.761914014816284,25
7.827842950820923,24
7.898578882217407,18
7.960371017456055,11
8.020041942596436,8
8.085850954055786,9
8.155565977096558,14
8.218400955200195,23
8.29171085357666,24
8.358252048492432,17
8.427532911300659,9
8.485306024551392,8
8.556313991546631,12
8.619740962982178,17
8.682541847229004,22
8.745528936386108,21
8.81182599067688,15
8.881870985031128,8
8.951844930648804,9
9.01199197769165,14
9.075928926467896,23
9.142437934875488,24
9.199826955795288,19
9.26280403137207,9
9.334183931350708,7
9.401916027069092,12
9.461874961853027,19
9.525622844696045,20
9.581892013549805,14
9.652415990829468,6
9.712508916854858,7
9.778069972991943,13
9.851878881454468,23
9.912703990936279,21
9.975467920303345,12
10.03950786590576,8
10.11296200752258,12
10.17342185974121,19
10.23465991020203,24
10.30264592170715,18
10.36681795120239,9
10.42997884750366,7
10.49192190170288,13
10.56225991249085,22
10.62167191505432,22
10.68835783004761,13
10.75256586074829,8
10.80964994430542,9
10.86195683479309,14
10.90491199493408,19
10.94459795951843,22
