Tall viser til kolonnenummer:
0=Tid, 1=Lys, 2=, 3= 
4=, 5=, 6=, 7= 
8=, 9= 
0,17
0.063262939453125,17
0.1234331130981445,17
0.1874279975891113,17
0.2417240142822266,17
0.2965390682220459,17
0.356781005859375,17
0.4094889163970947,17
0.4699440002441406,17
0.530925989151001,17
0.59004807472229,17
0.6468570232391357,17
0.7076001167297363,17
0.7735481262207031,18
0.8346059322357178,19
0.8966350555419922,19
0.9633169174194336,19
1.025990962982178,19
1.083137035369873,20
1.149805068969727,21
1.203850030899048,21
1.257513999938965,21
1.331801891326904,22
1.394619941711426,22
1.449352979660034,22
1.512249946594238,22
1.573457956314087,22
1.640192031860352,21
1.689244031906128,21
1.751058101654053,21
1.819653034210205,20
1.883004903793335,19
1.945799112319946,19
2.007245063781738,18
2.064300060272217,16
2.130381107330322,15
2.1943199634552,14
2.256868124008179,14
2.320266008377075,13
2.387516021728516,12
2.446547985076904,12
2.507004022598267,11
2.590939998626709,11
2.64524507522583,10
2.707442045211792,10
2.766503095626831,10
2.839800119400024,10
2.897494077682495,10
2.966288089752197,10
3.030483961105347,10
3.099656105041504,10
3.169212102890015,11
3.22609806060791,12
3.300105094909668,12
3.379594087600708,13
3.437088966369629,14
3.517096042633057,15
3.580382108688354,17
3.646109104156494,18
3.710412979125977,20
3.780524969100952,20
3.849879026412964,21
3.917448043823242,22
4.015091896057129,23
4.079597949981689,24
4.151628017425537,24
4.228049039840698,25
4.281054973602295,25
4.351439952850342,26
4.407462120056152,25
4.479964017868042,25
4.546516895294189,24
4.617304086685181,24
4.680222988128662,23
4.740588903427124,23
4.806360006332397,21
4.866528034210205,21
4.943211078643799,20
5.009922027587891,19
5.070389986038208,18
5.129929065704346,17
5.191112995147705,16
5.259155988693237,14
5.31273889541626,14
5.387980937957764,13
5.453422069549561,13
5.507970094680786,12
5.572046041488647,11
5.639209032058716,11
5.703706026077271,10
5.7707200050354,9
5.83050012588501,10
5.893227100372314,10
5.957109928131104,10
6.010195970535278,10
6.070099115371704,10
6.126545906066895,10
6.197427988052368,10
6.259809970855713,10
6.319231033325195,12
6.389472961425781,13
6.445986032485962,13
6.503441095352173,14
6.569588899612427,15
6.643512964248657,17
6.709508895874023,19
6.773534059524536,20
6.837798118591309,21
6.889957904815674,22
6.955697059631348,24
7.019395112991333,25
7.074597120285034,25
7.140216112136841,26
7.214721918106079,27
7.269737958908081,27
7.330218076705933,27
7.40049409866333,28
7.457905054092407,28
7.520751953125,27
7.590279102325439,26
7.65254807472229,25
7.719289064407349,24
7.783759117126465,23
7.84949803352356,22
7.907516002655029,20
7.969393014907837,20
8.040371894836426,19
8.095118045806885,17
8.160492897033691,16
8.236432075500488,14
8.300017118453979,14
8.366775035858154,14
8.421216011047363,12
8.49003005027771,12
8.550051927566528,12
8.622653961181641,11
8.683468103408813,10
8.743024110794067,10
8.807547092437744,10
8.864181995391846,10
8.929357051849365,11
9.014930009841919,11
9.075885057449341,10
9.143367052078247,10
9.209594011306763,10
9.274933099746704,10
9.345563888549805,11
9.405036926269531,11
9.467636108398438,12
9.530138969421387,13
9.584183931350708,14
9.650403022766113,15
9.710194110870361,16
9.780509948730469,19
9.847336053848267,20
9.904266119003296,21
9.976582050323486,24
10.04020500183106,25
10.10390400886536,27
10.16755294799805,27
10.23482608795166,28
10.29601693153381,28
10.35935497283936,29
10.41997790336609,29
10.48689007759094,30
10.53135991096497,30
10.56101608276367,30
10.60206389427185,29
