Tall viser til kolonnenummer:
0=Tid, 1=Lys,
0,27
0.1133918762207031,30
0.2278258800506592,29
0.3544678688049316,29
0.4892008304595947,24
0.6119329929351807,20
0.7341248989105225,17
0.8614230155944824,14
0.9835309982299805,13
1.118431806564331,14
1.244381904602051,14
1.369435787200928,18
1.495311975479126,22
1.615411996841431,24
1.739789962768555,28
1.864121913909912,31
2.001727819442749,31
2.143409967422485,29
2.263970851898193,24
2.395999908447266,20
2.541282892227173,17
2.673436880111694,14
2.80632495880127,13
2.95566987991333,15
3.081885814666748,16
3.223562002182007,19
3.362387895584106,23
3.499483823776245,28
3.650895833969116,32
3.797156810760498,30
3.943695783615112,29
4.080367803573608,24
4.211768865585327,18
4.343295812606812,17
4.473532915115356,15
4.603714942932129,16
4.730960845947266,17
4.861253976821899,19
4.979514837265015,23
5.123824834823608,28
5.251614809036255,31
5.388228893280029,29
5.51065993309021,30
5.651302814483643,25
5.769459962844849,22
5.904595851898193,18
6.029586791992188,16
6.163703918457031,14
6.279822826385498,16
6.408899784088135,17
6.52973198890686,19
6.663536787033081,22
6.791746854782104,27
6.916116952896118,30
7.039214849472046,31
7.176823854446411,30
7.297674894332886,27
7.426513910293579,21
7.552294015884399,18
7.689103841781616,16
7.813557863235474,15
7.929101943969727,16
8.062270879745483,19
8.188073873519897,21
8.313918828964233,26
8.452247858047485,30
8.581892013549805,31
8.704373836517334,30
8.840551853179932,29
8.964514970779419,24
9.083669900894165,20
9.21347188949585,18
9.335946798324585,15
9.471552848815918,15
9.596591949462891,17
9.725181818008423,19
9.858155965805054,22
9.977261781692505,27
10.10230278968811,31
10.22333478927612,31
10.34340596199036,29
10.47051095962525,29
10.59540891647339,24
10.71094679832459,20
10.84406495094299,17
10.96954393386841,14
11.09108185768128,14
11.21642279624939,14
11.35374593734741,16
11.46921896934509,18
11.56480288505554,21
